timeframe,cluster2017,TotPop,TotPop_m,cluster2017_nf,start_date,end_date,PctPopUnder18Years,PctPop65andOverYears,PctForeignBorn,PctBlackNonHispBridge,PctWhiteNonHispBridge,PctHisp,PctAsianPINonHispBridge,PctFamiliesOwnChildrenFH,PctPopUnder18Years_m,PctPop65andOverYears_m,PctForeignBorn_m,PctBlackNonHispBridge_m,PctWhiteNonHispBridge_m,PctHisp_m,PctAPINonHispBridge_m,PctFamiliesOwnChildFH_m,PctChgTotPop,PctChgPopUnder18Years,PctChgPop65andOverYear,indc
1990,"Sheridan, Barry Farm, Buena Vista",8083,.,Cluster 37,1-Jan-90,31-Dec-90,38,5.2,0.9,100,0.1,0.1,0.1,79,.,.,.,.,.,.,.,.,X,X,X,1
1990,"Douglas, Shipley Terrace",11792,.,Cluster 38,1-Jan-90,31-Dec-90,35,6.7,0.7,98,0.4,0.3,0.2,79,.,.,.,.,.,.,.,.,X,X,X,1
1990,"Congress Heights, Bellevue, Washington Highlands",32957,.,Cluster 39,1-Jan-90,31-Dec-90,32,4.6,1.1,98,1.1,0.4,0.1,71,.,.,.,.,.,.,.,.,X,X,X,1
1990,Walter Reed,801,.,Cluster 40,1-Jan-90,31-Dec-90,0,0.5,4.5,38,52,7.6,1.1,i,.,.,.,.,.,.,.,.,X,X,X,1
1990,Rock Creek Park,279,.,Cluster 41,1-Jan-90,31-Dec-90,15,17,12,68,26,3.9,1.7,27,.,.,.,.,.,.,.,.,X,X,X,1
1990,Saint Elizabeths,1970,.,Cluster 43,1-Jan-90,31-Dec-90,7.6,16,3.2,84,14,1.5,0.6,86,.,.,.,.,.,.,.,.,X,X,X,1
1990,Joint Base Anacostia-Bolling,9319,.,Cluster 44,1-Jan-90,31-Dec-90,35,3.2,4.5,44,46,5.7,3.7,16,.,.,.,.,.,.,.,.,X,X,X,1
1990,"Arboretum, Anacostia River",0,.,Cluster 46,1-Jan-90,31-Dec-90,i,i,i,i,i,i,i,i,.,.,.,.,.,.,.,.,X,X,X,1
2010,"Kalorama Heights, Adams Morgan, Lanier Heights",X,.,Cluster 1,1-Jan-00,31-Dec-10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.8,-20,45,1
2010,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",X,.,Cluster 2,1-Jan-00,31-Dec-10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1.3,-30,-10,1
2010,"Howard University, Le Droit Park, Cardozo/Shaw",X,.,Cluster 3,1-Jan-00,31-Dec-10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,20,-39,-23,1
2010,"Georgetown, Burleith/Hillandale",X,.,Cluster 4,1-Jan-00,31-Dec-10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,4.6,32,33,1
2010,"West End, Foggy Bottom, GWU",X,.,Cluster 5,1-Jan-00,31-Dec-10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,39,72,-4.9,1
2010,"Dupont Circle, Connecticut Avenue/K Street",X,.,Cluster 6,1-Jan-00,31-Dec-10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1.5,-42,3.9,1
2010,"Shaw, Logan Circle",X,.,Cluster 7,1-Jan-00,31-Dec-10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,15,-26,-2.3,1
2010,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",X,.,Cluster 8,1-Jan-00,31-Dec-10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,46,-31,-2.1,1
2010,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",X,.,Cluster 9,1-Jan-00,31-Dec-10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-1.6,-16,-5.5,1
2010,"Hawthorne, Barnaby Woods, Chevy Chase",X,.,Cluster 10,1-Jan-00,31-Dec-10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-4.7,13,-13,1
2010,"Friendship Heights, American University Park, Tenleytown",X,.,Cluster 11,1-Jan-00,31-Dec-10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,18,28,13,1
2010,"North Cleveland Park, Forest Hills, Van Ness",X,.,Cluster 12,1-Jan-00,31-Dec-10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,5.1,-8.1,18,1
2010,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",X,.,Cluster 13,1-Jan-00,31-Dec-10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-0.6,36,21,1
2010,"Cathedral Heights, McLean Gardens, Glover Park",X,.,Cluster 14,1-Jan-00,31-Dec-10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,8.5,12,17,1
2010,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",X,.,Cluster 15,1-Jan-00,31-Dec-10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,3.4,14,-15,1
2010,"Colonial Village, Shepherd Park, North Portal Estates",X,.,Cluster 16,1-Jan-00,31-Dec-10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-3.5,-2.4,1.1,1
2010,"Takoma, Brightwood, Manor Park",X,.,Cluster 17,1-Jan-00,31-Dec-10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,5.1,6.1,-10,1
2010,"Brightwood Park, Crestwood, Petworth",X,.,Cluster 18,1-Jan-00,31-Dec-10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,-11,-20,1
2010,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",X,.,Cluster 19,1-Jan-00,31-Dec-10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,9.4,22,4.9,1
2010,"North Michigan Park, Michigan Park, University Heights",X,.,Cluster 20,1-Jan-00,31-Dec-10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-4,-29,-8.8,1
2010,"Edgewood, Bloomingdale, Truxton Circle, Eckington",X,.,Cluster 21,1-Jan-00,31-Dec-10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,9.2,-29,14,1
2010,"Brookland, Brentwood, Langdon",X,.,Cluster 22,1-Jan-00,31-Dec-10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-3.1,-14,-17,1
2010,"Ivy City, Arboretum, Trinidad, Carver Langston",X,.,Cluster 23,1-Jan-00,31-Dec-10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2.6,-14,-18,1
2010,"Woodridge, Fort Lincoln, Gateway",X,.,Cluster 24,1-Jan-00,31-Dec-10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,3.2,-8.4,-18,1
2010,"Union Station, Stanton Park, Kingman Park",X,.,Cluster 25,1-Jan-00,31-Dec-10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,7,-15,-21,1
2010,"Capitol Hill, Lincoln Park",X,.,Cluster 26,1-Jan-00,31-Dec-10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,11,1.1,11,1
2010,"Near Southeast, Navy Yard",X,.,Cluster 27,1-Jan-00,31-Dec-10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,51,-75,-9.5,1
2010,Historic Anacostia,X,.,Cluster 28,1-Jan-00,31-Dec-10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-1,-12,-2.7,1
2010,"Eastland Gardens, Kenilworth",X,.,Cluster 29,1-Jan-00,31-Dec-10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,5.9,-3.1,-9.8,1
2010,"Mayfair, Hillbrook, Mahaning Heights",X,.,Cluster 30,1-Jan-00,31-Dec-10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2.6,-8.6,-8.6,1
2010,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",X,.,Cluster 31,1-Jan-00,31-Dec-10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.7,-1.2,-15,1
2010,"River Terrace, Benning, Greenway, Dupont Park",X,.,Cluster 32,1-Jan-00,31-Dec-10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1.3,-3.3,-11,1
2010,"Capitol View, Marshall Heights, Benning Heights",X,.,Cluster 33,1-Jan-00,31-Dec-10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,3.2,-12,-5.3,1
2010,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",X,.,Cluster 34,1-Jan-00,31-Dec-10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-2.9,-13,11,1
2010,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",X,.,Cluster 35,1-Jan-00,31-Dec-10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-5.3,-22,15,1
2010,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",X,.,Cluster 36,1-Jan-00,31-Dec-10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,19,-1.6,50,1
2010,"Sheridan, Barry Farm, Buena Vista",X,.,Cluster 37,1-Jan-00,31-Dec-10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-5.8,-20,-2.1,1
2010,"Douglas, Shipley Terrace",X,.,Cluster 38,1-Jan-00,31-Dec-10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,3.6,-12,5.6,1
2010,"Congress Heights, Bellevue, Washington Highlands",X,.,Cluster 39,1-Jan-00,31-Dec-10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,3.5,-12,29,1
2010,Walter Reed,X,.,Cluster 40,1-Jan-00,31-Dec-10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-42,.,.,1
2010,Rock Creek Park,X,.,Cluster 41,1-Jan-00,31-Dec-10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,206,194,178,1
2010,Saint Elizabeths,X,.,Cluster 43,1-Jan-00,31-Dec-10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-27,-71,50,1
2010,Joint Base Anacostia-Bolling,X,.,Cluster 44,1-Jan-00,31-Dec-10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-26,-44,58,1
2010,"Arboretum, Anacostia River",X,.,Cluster 46,1-Jan-00,31-Dec-10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,.,.,.,1
2000,"Kalorama Heights, Adams Morgan, Lanier Heights",X,.,Cluster 1,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2,-15,-17,1
2000,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",X,.,Cluster 2,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.8,2.1,-27,1
2000,"Howard University, Le Droit Park, Cardozo/Shaw",X,.,Cluster 3,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-2.5,-18,-30,1
2000,"Georgetown, Burleith/Hillandale",X,.,Cluster 4,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,5.6,7.6,-8.5,1
2000,"West End, Foggy Bottom, GWU",X,.,Cluster 5,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,5.8,-6.2,-4.7,1
2000,"Dupont Circle, Connecticut Avenue/K Street",X,.,Cluster 6,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,3.8,-24,-0.1,1
2000,"Shaw, Logan Circle",X,.,Cluster 7,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,4,3.2,-11,1
2000,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",X,.,Cluster 8,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,6.6,25,-15,1
2000,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",X,.,Cluster 9,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1.6,1.6,42,1
2000,"Hawthorne, Barnaby Woods, Chevy Chase",X,.,Cluster 10,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,8.8,5,24,1
2000,"Friendship Heights, American University Park, Tenleytown",X,.,Cluster 11,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-2.3,16,-12,1
2000,"North Cleveland Park, Forest Hills, Van Ness",X,.,Cluster 12,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.2,4.5,-27,1
2000,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",X,.,Cluster 13,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,6.2,6.1,-2.5,1
2000,"Cathedral Heights, McLean Gardens, Glover Park",X,.,Cluster 14,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.7,-0.4,-15,1
2000,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",X,.,Cluster 15,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-1.2,-3.4,-20,1
2000,"Colonial Village, Shepherd Park, North Portal Estates",X,.,Cluster 16,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-10,-11,16,1
2000,"Takoma, Brightwood, Manor Park",X,.,Cluster 17,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-5.2,-2.1,0.5,1
2000,"Brightwood Park, Crestwood, Petworth",X,.,Cluster 18,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-2.8,15,-8.7,1
2000,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",X,.,Cluster 19,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-12,-11,16,1
2000,"North Michigan Park, Michigan Park, University Heights",X,.,Cluster 20,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-3.5,15,26,1
2000,"Edgewood, Bloomingdale, Truxton Circle, Eckington",X,.,Cluster 21,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-22,-6.1,-48,1
2000,"Brookland, Brentwood, Langdon",X,.,Cluster 22,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-10,-5.3,-8.7,1
2000,"Ivy City, Arboretum, Trinidad, Carver Langston",X,.,Cluster 23,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-19,-20,-26,1
2000,"Woodridge, Fort Lincoln, Gateway",X,.,Cluster 24,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-2.2,5.7,4.2,1
2000,"Union Station, Stanton Park, Kingman Park",X,.,Cluster 25,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-10,-0.7,-15,1
2000,"Capitol Hill, Lincoln Park",X,.,Cluster 26,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-7,-10,-12,1
2000,"Near Southeast, Navy Yard",X,.,Cluster 27,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-14,12,-17,1
2000,Historic Anacostia,X,.,Cluster 28,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-14,-3.5,-6.6,1
2000,"Eastland Gardens, Kenilworth",X,.,Cluster 29,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,77,200,-10,1
2000,"Mayfair, Hillbrook, Mahaning Heights",X,.,Cluster 30,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-2.3,0.1,-6,1
2000,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",X,.,Cluster 31,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-11,-4.1,-11,1
2000,"River Terrace, Benning, Greenway, Dupont Park",X,.,Cluster 32,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-11,-2.8,0.6,1
2000,"Capitol View, Marshall Heights, Benning Heights",X,.,Cluster 33,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-20,-11,-2,1
2000,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",X,.,Cluster 34,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-11,-10,11,1
2000,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",X,.,Cluster 35,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-5.5,12,5,1
2000,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",X,.,Cluster 36,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-14,-0.8,-52,1
2000,"Sheridan, Barry Farm, Buena Vista",X,.,Cluster 37,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,4.5,19,7.1,1
2000,"Douglas, Shipley Terrace",X,.,Cluster 38,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-2.5,14,-8.5,1
2000,"Congress Heights, Bellevue, Washington Highlands",X,.,Cluster 39,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-18,-13,25,1
2000,Walter Reed,X,.,Cluster 40,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-23,.,-100,1
2000,Rock Creek Park,X,.,Cluster 41,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-1.6,10,15,1
2000,Saint Elizabeths,X,.,Cluster 43,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-47,23,-85,1
2000,Joint Base Anacostia-Bolling,X,.,Cluster 44,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-31,-32,-66,1
2000,"Arboretum, Anacostia River",X,.,Cluster 46,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,.,.,.,1